2015-02-04,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-05,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-06,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-07,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-08,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-09,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-10,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-11,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-12,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-13,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-14,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-15,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-16,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-17,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-18,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-19,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-20,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-21,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-22,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-23,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-24,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-25,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-26,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-27,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-02-28,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-01,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-02,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-03,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-04,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-05,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-06,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-07,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-08,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-09,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-10,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-11,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-12,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-13,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-14,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-15,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-16,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-17,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-18,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-19,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-20,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-21,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-22,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-23,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-24,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-25,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-26,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-27,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-28,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-29,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-30,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-03-31,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-01,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-02,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-03,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-04,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-05,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-06,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-07,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-08,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-09,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-10,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-11,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-12,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-13,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-14,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-15,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-16,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-17,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-18,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-19,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-20,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-21,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
2015-04-22,49817,52988,76078,95767,96092,96607,110094,116544,75760,95851,154645,126482,82327,116915,149721,191072,138272,82684,145778,102067,120789,178847,244787,218942,137662
